SSIC,UEN,firm_type,ownership_type,exp_total_rnd,no_sc_researchers,no_pr_researchers,no_fc_researchers,no_phd_researchers,no_masters_researchers,no_bachelors_researchers,no_nondegree_researchers,no_postgrad_researchers
S1,7231,SME,Gov,1519.283,99,299,63,489,137,79,414,441
S2,7232,SME,Gov,3380.341,371,92,155,117,218,168,56,57
S3,7233,SME,Public RI,2837.535,277,675,593,263,50,229,252,156
S1,7234,MNC,Public RI,3115.091,181,385,447,207,128,53,178,129
S1,7235,MNC,IHL,4060.476,319,317,442,229,56,141,29,208
S1,7236,LLC,IHL,2969.735,854,190,247,161,195,339,116,551
S2,7237,SME,Private,2254.517,65,221,121,40,403,159,231,103
S2,7238,LLC,Gov,2780.631,366,209,169,274,421,811,180,472
S3,7239,MNC,Gov,2311.129,192,470,363,170,330,59,164,308
S1,7240,MNC,Gov,2888.396,163,337,52,392,128,324,374,330
S3,7241,MNC,Public RI,4927.902,57,306,310,132,286,95,181,443
S2,7242,MNC,Private,2907.848,376,383,475,134,153,139,419,255
S1,7243,MNC,IHL,2106.008,314,208,100,412,461,705,60,358
S3,7244,SME,Private,3613.664,211,436,513,273,844,267,55,152
S3,7245,LLC,Gov,3699.675,321,223,419,218,192,85,503,323
S1,7246,LLC,IHL,2489.256,505,368,467,431,122,92,209,477
S2,7247,SME,Private,2753.022,105,117,747,320,366,183,148,342
S1,7248,SME,IHL,2137.734,355,140,277,67,28,399,63,473
S3,7249,LLC,Private,2531.253,127,321,118,483,616,108,262,176
S2,7250,MNC,Gov,2225.984,477,489,188,177,262,136,121,352
S2,7251,SME,Private,2004.412,70,405,254,221,260,375,126,119
S2,7252,LLC,Gov,6799.517,175,570,238,39,117,379,237,84
S1,7253,LLC,Private,4213.158,232,77,558,171,138,168,265,315
S3,7254,MNC,Gov,6334.053,360,682,335,441,682,505,614,101
S1,7255,SME,IHL,1883.43,382,120,1362,554,277,317,225,132
S2,7256,MNC,Private,3813.907,159,237,221,231,194,357,396,149
S2,7257,MNC,IHL,2709.318,411,219,1076,543,531,639,340,260
S1,7258,SME,IHL,3937.616,106,257,369,264,62,223,482,104
S1,7259,MNC,Private,2441.841,460,215,338,371,374,458,298,369
S2,7260,MNC,Gov,4075.716,555,192,496,162,424,165,1285,79
S1,7261,LLC,Public RI,3845.423,401,147,246,172,588,800,458,611
S1,7262,LLC,IHL,2142.176,347,133,239,263,112,581,289,174
S3,7263,MNC,IHL,4404.451,83,407,732,465,221,193,7,55
S1,7264,LLC,IHL,2352.086,690,1037,326,381,653,238,283,212
S2,7265,MNC,IHL,5931.945,1116,289,334,125,608,582,341,27
S2,7266,SME,IHL,2924.28,680,415,679,543,136,535,411,247
S2,7267,SME,IHL,2854.216,100,295,437,507,189,879,236,209
S3,7268,SME,Gov,1984.585,111,296,210,165,242,62,191,129
S1,7269,LLC,Public RI,2393.701,120,83,922,294,147,259,370,522
S3,7270,LLC,Public RI,3045.948,324,53,153,174,129,341,324,135
S3,7271,LLC,Private,2696.142,240,337,303,134,377,127,759,459
S2,7272,MNC,Gov,4331.527,532,428,99,963,393,119,167,233
S2,7273,LLC,IHL,2590.734,17,91,469,518,192,598,254,163
S3,7274,SME,Gov,2265.693,366,140,145,184,488,21,589,344
S3,7275,LLC,Gov,2466.936,380,564,311,413,563,405,250,589
S1,7276,MNC,Private,2989.467,296,405,367,540,693,358,168,148
S2,7277,SME,Public RI,2692.448,50,28,399,241,402,346,272,308
S1,7278,MNC,Gov,2764.011,111,293,124,272,389,292,182,176
S1,7279,SME,Gov,2564.825,231,348,41,370,137,357,336,54
S2,7280,LLC,Gov,3131.537,356,324,273,118,117,73,285,110
S2,7281,SME,Public RI,2961.982,225,708,94,53,179,331,236,68
S3,7282,MNC,Gov,1741.316,129,474,170,133,32,692,257,687
S3,7283,SME,Private,2620.429,266,393,83,526,605,139,108,221
S3,7284,LLC,Public RI,3386.85,315,93,28,1208,458,315,443,168
S1,7285,SME,Gov,2535.364,217,111,112,200,457,568,108,401
S2,7286,SME,Public RI,1578.223,454,334,43,353,692,541,385,469
S3,7287,MNC,Private,3801.583,491,434,231,211,190,196,182,191
S2,7288,LLC,IHL,2454.374,466,184,173,274,14,45,214,341
S2,7289,SME,Public RI,2410.047,8,278,115,584,164,548,205,504
S3,7290,MNC,Public RI,4266.051,171,289,1121,238,278,272,63,309
S1,7291,SME,Gov,2953.534,329,249,140,224,897,338,385,136
S1,7292,LLC,Private,3356.193,281,313,486,173,248,303,595,167
S2,7293,MNC,Private,2714.84,128,436,27,236,129,166,418,378
S2,7294,MNC,Gov,2879.545,163,371,32,21,367,305,122,427
S1,7295,MNC,Public RI,3991.774,65,626,114,415,127,640,339,119
S3,7296,MNC,Gov,3375.716,149,103,289,307,127,47,323,890
S3,7297,SME,Private,4298.497,406,41,414,173,236,197,173,164
S1,7298,SME,IHL,3016.49,176,287,807,147,647,887,180,441
S2,7299,LLC,IHL,1832.096,620,161,698,220,121,281,162,1075
S1,7300,SME,Private,3999.968,59,27,16,342,206,132,290,473
S2,7301,MNC,Public RI,3173.95,215,393,337,722,148,518,1479,217
S1,7302,SME,Private,2095.999,394,295,538,166,211,51,346,416
S1,7303,SME,IHL,4608.157,74,684,113,82,590,512,378,557
S2,7304,MNC,Public RI,4747.619,216,233,93,93,30,69,132,187
S1,7305,MNC,Public RI,1928.641,189,119,727,156,629,263,479,312
S2,7306,LLC,Public RI,4158.907,130,110,727,359,175,110,393,212
S2,7307,SME,Private,5068.715,383,661,69,500,67,631,490,180
S1,7308,LLC,Public RI,4376.632,345,1015,644,651,266,43,195,189
S3,7309,MNC,Gov,2923.685,303,615,79,41,127,213,100,169
S2,7310,LLC,Private,1633.539,280,257,149,205,237,892,152,657
S3,7311,SME,Gov,2677.282,710,115,186,132,580,311,408,72
S2,7312,LLC,Private,2757.771,83,89,139,167,172,60,14,33
S2,7313,LLC,Private,4591.341,521,210,75,294,426,332,196,141
S2,7314,MNC,Private,4154.717,39,250,72,98,177,442,350,264
S2,7315,SME,Public RI,3046.584,226,269,379,335,278,156,284,157
S1,7316,MNC,Private,3425.455,203,155,604,232,307,237,350,177
S2,7317,LLC,Public RI,1555.495,173,206,1085,374,1156,147,1298,106
S1,7318,SME,Gov,2773.788,500,343,381,619,255,124,248,242
S3,7319,MNC,Private,4445.156,575,341,161,150,765,219,56,504
S3,7320,SME,Gov,5303.4,62,260,335,58,317,799,342,370
S3,7321,LLC,Private,3082.306,264,41,190,189,139,469,419,145
S1,7322,MNC,Gov,4911.593,236,370,432,147,463,703,369,170
S1,7323,SME,Public RI,2256.182,303,206,205,168,451,342,239,597
S3,7324,MNC,Gov,3355.554,48,311,137,272,385,581,52,795
S2,7325,LLC,Private,2464.442,291,790,181,638,218,74,211,8
S2,7326,SME,Gov,2713.771,111,184,97,84,414,202,306,133
S1,7327,LLC,Private,3210.986,281,64,162,352,119,179,74,294
S2,7328,LLC,IHL,2407.433,1268,1271,502,174,277,524,165,390
S2,7329,SME,Public RI,3803.201,28,250,130,147,316,528,235,386
S3,7330,MNC,IHL,3519.35,288,48,30,117,49,224,112,440
S1,7331,LLC,Public RI,2845.217,513,97,112,479,171,271,20,465
S2,7332,MNC,Public RI,2474.801,246,174,225,62,284,185,15,344
S1,7333,SME,Gov,1517.294,267,588,368,254,210,87,90,244
S1,7334,MNC,Private,3256.158,397,234,316,640,918,386,479,108
S3,7335,SME,Gov,5591.517,397,437,411,89,23,164,330,200
S2,7336,SME,Private,3508.611,1231,61,600,222,97,303,337,33
S1,7337,LLC,Private,4295.821,462,66,311,431,66,480,443,222
S1,7338,SME,Gov,3559.59,1052,144,81,200,123,193,259,252
S2,7339,LLC,Private,3762.51,572,139,49,349,134,279,128,297
S3,7340,LLC,Private,2699.043,174,333,194,333,114,235,262,263
S3,7341,MNC,Public RI,3213.383,409,328,409,250,181,60,247,226
S1,7342,LLC,Public RI,1239.176,69,106,379,8,85,245,806,443
S1,7343,MNC,IHL,1891.222,42,64,488,296,170,151,104,92
S3,7344,MNC,Public RI,3576.442,72,30,487,167,75,277,385,150
S1,7345,MNC,IHL,3203.098,75,638,295,157,38,604,53,518
S1,7346,LLC,Public RI,2957.144,201,190,1258,266,305,326,308,272
S2,7347,SME,Public RI,2746.564,343,130,389,657,438,384,50,67
S2,7348,LLC,IHL,4242.425,115,197,90,15,87,124,210,315
S3,7349,LLC,Private,3285.948,241,417,359,40,399,386,247,113
S1,7350,SME,IHL,2989.013,161,155,533,418,337,639,139,87
S1,7351,LLC,Gov,3351.88,16,224,329,144,477,202,353,550
S3,7352,MNC,IHL,1749.796,372,122,204,208,174,150,77,378
S1,7353,LLC,IHL,2466.216,353,287,175,85,186,222,127,80
S3,7354,SME,Private,2401.604,243,534,591,153,481,198,291,624
S2,7355,LLC,Private,2174.328,365,726,244,11,412,246,409,204
S3,7356,SME,Public RI,1919.008,379,549,219,659,40,199,571,102
S1,7357,LLC,Private,1322.956,232,680,16,114,204,424,208,286
S3,7358,LLC,Private,2489.95,64,106,708,48,87,79,357,266
S2,7359,MNC,Private,3495.696,212,245,360,490,453,255,47,217
S2,7360,SME,Private,2426.214,274,968,218,1079,486,83,235,117
S3,7361,SME,Gov,1885.023,350,87,461,510,546,752,331,109
S2,7362,SME,IHL,4630.414,401,73,140,187,128,176,258,249
S3,7363,LLC,IHL,3272.148,103,52,113,136,208,232,78,440
S1,7364,LLC,Private,3029.712,367,969,1243,167,502,146,142,229
S2,7365,SME,Public RI,3553.937,63,685,625,110,295,338,721,171
S2,7366,MNC,Gov,3646.108,91,306,28,631,141,268,53,170
S2,7367,LLC,Public RI,4166.421,394,487,252,155,120,490,41,451
S2,7368,LLC,Private,3489.614,223,203,390,502,415,363,194,96
S2,7369,SME,IHL,2334.42,140,212,89,109,177,563,130,105
S1,7370,SME,Gov,3047.241,127,77,431,522,346,223,366,76
S2,7371,LLC,IHL,3006.935,346,405,64,445,272,83,237,402
S3,7372,SME,Public RI,1650.081,201,377,363,395,112,181,388,132
S3,7373,LLC,IHL,1428.548,303,881,180,460,220,387,445,218
S2,7374,SME,Public RI,2660.717,383,62,192,84,316,158,602,269
S3,7375,MNC,Gov,2179.103,200,156,1587,458,174,432,139,54
S2,7376,SME,Private,2671.493,441,405,105,333,179,218,500,228
S2,7377,MNC,Private,3631.187,222,246,633,230,443,262,457,175
S1,7378,SME,Gov,1938.487,75,625,387,91,193,208,14,330
S2,7379,SME,Public RI,3195.426,509,505,230,396,624,588,54,300
S2,7380,SME,Gov,2239.791,261,357,427,598,104,1171,269,387
S3,7381,MNC,IHL,3232.803,1140,165,215,66,189,314,111,69
S3,7382,SME,Gov,3848.853,600,146,209,146,427,449,366,162
S3,7383,LLC,Public RI,2150.053,79,182,170,50,190,296,177,316
S2,7384,SME,Private,3909.081,540,161,93,291,467,227,421,236
S3,7385,SME,Public RI,1644.462,271,314,171,181,543,286,245,96
S1,7386,LLC,IHL,3741.137,53,406,59,285,412,45,540,470
S2,7387,SME,Gov,2835.323,205,346,465,126,153,237,76,135
S2,7388,LLC,Public RI,1900.561,322,497,44,382,106,568,127,179
S3,7389,MNC,Gov,2888.226,344,39,198,357,1067,328,417,231
S1,7390,MNC,Private,2689.645,207,186,111,35,132,97,466,338
S1,7391,LLC,Gov,1688.4,107,65,45,211,177,37,458,598
S2,7392,SME,Private,2928.58,292,312,300,251,98,153,157,292
S2,7393,LLC,Private,2209.567,106,154,45,42,307,212,276,193
S1,7394,LLC,Gov,2282.734,168,154,296,345,381,74,845,110
S2,7395,MNC,Public RI,2964.851,241,146,43,420,216,259,377,185
S2,7396,MNC,Private,4278.68,202,144,650,607,33,163,117,330
S3,7397,LLC,IHL,2810.545,79,96,803,317,188,262,209,94
S1,7398,MNC,Public RI,2515.831,162,238,376,294,184,33,508,1190
S2,7399,MNC,Private,2233.534,279,969,779,337,12,379,398,321
S1,7400,MNC,IHL,2667.112,149,930,851,114,68,917,130,151
S2,7401,LLC,Private,3253.423,728,435,1240,316,330,434,139,595
S3,7402,LLC,IHL,2371.532,332,31,131,149,290,167,171,194
S3,7403,SME,Gov,3557.279,201,700,214,364,134,53,539,59
S3,7404,MNC,Public RI,2329.598,123,151,559,164,134,485,1074,316
S1,7405,LLC,Gov,4370.863,152,181,436,457,168,657,440,485
S2,7406,SME,Private,5397.023,175,499,86,319,485,198,159,197
S2,7407,SME,Private,3692.043,556,779,413,19,865,26,352,45
S3,7408,SME,Private,3055.582,785,198,536,305,333,292,403,159
S2,7409,LLC,Private,2434.37,274,98,279,251,494,61,304,51
S2,7410,LLC,IHL,1598.135,692,240,232,188,635,134,123,413
S2,7411,MNC,Gov,3995.952,179,492,815,273,279,282,399,478
S3,7412,MNC,Public RI,3522.216,324,47,127,762,134,234,239,254
S1,7413,SME,IHL,3862.088,12,235,360,39,422,636,246,656
S2,7414,MNC,IHL,3771.868,428,80,58,580,240,593,463,16
S2,7415,SME,IHL,1866.575,267,177,314,342,291,154,584,164
S3,7416,LLC,Public RI,4087.215,146,79,140,71,494,931,444,366
S1,7417,SME,IHL,2008.731,243,388,211,629,310,346,20,97
S1,7418,MNC,Private,1748.601,424,379,583,23,203,668,248,323
S1,7419,LLC,Gov,2780.244,376,409,437,622,237,517,178,349
S2,7420,LLC,Gov,3429.137,484,412,477,310,366,493,232,214
S3,7421,LLC,Private,2955.231,568,927,744,298,489,337,283,254
S1,7422,SME,Public RI,2928.616,63,103,72,416,133,204,177,29
S2,7423,LLC,IHL,1264.242,326,246,162,784,31,247,202,176
S3,7424,LLC,Private,2375.745,341,103,24,469,195,398,237,97
S3,7425,LLC,Public RI,2045.27,713,570,265,611,262,169,540,115
S2,7426,SME,IHL,2995.975,177,442,470,229,448,288,47,103
S2,7427,SME,Private,3093.559,113,302,742,711,126,388,472,113
S2,7428,MNC,Private,2838.546,682,327,192,75,54,298,508,424
S1,7429,MNC,Gov,2485.402,179,182,171,213,405,142,343,214
S2,7430,MNC,Public RI,2678.547,973,137,294,269,320,774,86,132
S2,7431,MNC,Public RI,2337.526,38,145,452,238,67,148,361,275
S3,7432,SME,IHL,2917.987,194,97,398,273,255,260,652,129
S2,7433,SME,Public RI,1079.27,667,72,199,353,153,808,232,442
S3,7434,LLC,Public RI,3058.813,109,241,645,327,155,47,423,376
S1,7435,LLC,Public RI,1824.819,1015,393,176,616,221,180,177,288
S1,7436,LLC,IHL,2412.167,115,207,387,239,209,84,291,233
S1,7437,SME,Private,3488.847,153,497,146,234,431,253,146,101
S3,7438,LLC,Private,2379.823,369,329,892,199,175,877,142,751
S2,7439,MNC,IHL,3075.361,54,227,311,52,256,799,188,263
S1,7440,MNC,Gov,3878.807,381,401,41,245,136,180,262,383
S3,7441,LLC,Gov,3080.832,169,135,382,322,108,318,171,596
S1,7442,SME,IHL,2984.655,306,404,159,1010,326,195,219,197
S3,7443,MNC,Gov,2907.779,27,173,773,394,292,558,204,76
S1,7444,LLC,IHL,3066.139,264,265,153,117,85,186,186,447
S1,7445,SME,Gov,2749.521,144,206,408,797,760,910,335,480
S1,7446,MNC,Private,4462.617,376,220,360,253,892,324,260,294
S3,7447,LLC,Private,2037.639,355,189,316,154,71,169,216,230
S1,7448,MNC,IHL,3145.508,227,41,528,144,155,365,705,462
S3,7449,MNC,Public RI,2754.061,255,492,42,239,328,421,370,36
S1,7450,LLC,Public RI,3525.897,84,564,79,139,152,942,406,270
S3,7451,LLC,IHL,3873.351,389,66,47,717,149,331,97,338
S2,7452,MNC,IHL,4072.425,197,85,305,524,275,395,223,283
S2,7453,MNC,Public RI,3960.684,212,313,807,32,739,288,417,143
S3,7454,LLC,Public RI,3171.707,137,142,235,397,206,148,431,246
S3,7455,SME,IHL,3098.807,171,12,90,157,226,731,304,852
S3,7456,MNC,Public RI,3295.09,621,949,335,71,211,531,121,650
S2,7457,SME,Private,3428.516,105,259,349,49,154,259,216,235
S3,7458,SME,Public RI,5180.74,762,228,174,248,84,208,424,173
S1,7459,LLC,Public RI,2569.817,246,69,252,497,221,340,255,370
S1,7460,MNC,Gov,1610.847,43,19,782,135,288,153,522,202
S2,7461,SME,IHL,2810.988,428,234,126,509,85,980,369,777
S3,7462,LLC,Private,3596.947,407,214,364,202,312,642,123,19
S2,7463,LLC,IHL,4322.02,88,554,352,126,735,368,265,64
S3,7464,LLC,Public RI,2303.518,492,61,237,441,66,263,420,371
S2,7465,SME,Private,2345.649,93,505,174,287,86,303,368,661
S1,7466,LLC,Gov,2415.329,244,140,369,323,181,123,240,119
S2,7467,SME,Gov,1774.135,370,192,168,731,33,225,414,71
S3,7468,LLC,IHL,3010.545,250,215,239,140,641,356,429,435
S2,7469,LLC,IHL,1214.56,192,161,129,70,538,229,264,189
S3,7470,LLC,Public RI,2315.611,141,233,303,210,205,417,328,501
S1,7471,SME,Public RI,2512.162,92,173,196,376,309,130,426,371
S3,7472,LLC,IHL,3893.496,127,120,103,753,127,107,114,198
S3,7473,LLC,Private,2861.777,612,232,142,350,329,227,167,660
S2,7474,MNC,Private,1202.362,592,127,462,217,185,153,376,365
S3,7475,MNC,Gov,3301.02,505,183,390,557,953,696,252,229
S1,7476,MNC,IHL,2561.702,62,306,177,121,734,289,501,36
S2,7477,MNC,IHL,2276.764,484,304,126,206,151,409,278,387
S1,7478,SME,Public RI,3192.299,20,138,284,499,555,482,69,113
S2,7479,MNC,Public RI,2187.258,245,393,214,306,195,229,550,89
S3,7480,SME,IHL,3232.305,166,373,309,257,237,148,217,325
S1,7481,MNC,IHL,2108.356,267,153,765,430,406,143,201,810
S3,7482,LLC,Private,2747.781,456,344,160,226,68,448,267,331
S2,7483,MNC,IHL,4316.848,238,185,484,134,446,225,519,139
S2,7484,LLC,Private,3518.856,200,275,355,200,129,455,129,653
S1,7485,SME,Public RI,2241.102,152,306,135,568,1061,260,633,173
S2,7486,MNC,IHL,2165.157,141,440,356,388,202,270,457,265
S2,7487,MNC,IHL,3278.178,682,147,174,448,383,415,180,268
S3,7488,MNC,IHL,3763.322,178,473,100,77,108,449,70,62
S2,7489,SME,Public RI,3368.384,513,399,436,408,256,334,852,285
S2,7490,LLC,Public RI,2238.814,207,304,336,155,75,112,307,208
S3,7491,SME,Gov,2788.92,167,194,268,223,361,802,146,132
S2,7492,LLC,Public RI,1598.761,61,111,32,701,557,890,436,518
S1,7493,LLC,Public RI,3648.184,395,317,178,308,127,112,162,325
S2,7494,LLC,Gov,3190.389,693,592,230,445,87,282,207,816
S3,7495,MNC,Public RI,3326.7,203,321,272,55,176,181,44,563
S2,7496,LLC,IHL,2845.59,204,335,268,565,162,245,194,142
S1,7497,LLC,Private,3891.897,207,41,10,144,354,80,1024,782
S2,7498,SME,Public RI,2588.217,56,642,318,471,608,656,119,448
S3,7499,LLC,Gov,3572.918,322,164,106,1121,785,140,201,556
S2,7500,SME,IHL,2403.59,221,394,109,56,124,189,95,326
S1,7501,LLC,Public RI,3645.77,334,104,473,176,125,351,693,148
S3,7502,MNC,Public RI,4137.37,452,335,255,104,65,184,323,82
S2,7503,SME,IHL,5561.025,199,215,679,77,234,285,78,148
S2,7504,SME,IHL,2272.524,46,129,211,322,117,480,540,548
S2,7505,MNC,Public RI,2562.39,102,189,645,333,309,137,158,718
S3,7506,SME,IHL,3127.725,514,239,332,645,69,202,267,232
S2,7507,LLC,IHL,2821.304,233,278,299,793,72,202,318,26
S3,7508,LLC,Gov,2849.006,28,140,301,410,631,486,380,624
S2,7509,SME,Private,4861.0,304,143,44,146,258,133,260,173
S1,7510,LLC,Public RI,4315.409,252,722,233,98,222,961,388,393
S3,7511,SME,Gov,3066.85,253,67,493,131,108,278,230,212
S2,7512,MNC,Public RI,1867.65,126,394,52,228,213,386,120,130
S1,7513,SME,Public RI,1731.76,423,94,708,191,586,86,491,438
S3,7514,LLC,Gov,3064.169,207,398,184,212,42,158,177,741
S3,7515,SME,Gov,2028.785,505,297,227,113,432,103,382,88
S1,7516,MNC,Gov,1009.154,209,153,539,619,119,37,262,383
S2,7517,MNC,Public RI,2655.115,343,82,667,331,71,449,308,129
S1,7518,SME,Gov,2370.252,114,314,590,327,442,670,361,786
S3,7519,MNC,Private,2749.082,192,63,265,201,35,84,140,284
S3,7520,LLC,IHL,2904.118,286,239,104,139,142,675,432,145
S1,7521,SME,Private,4733.091,472,703,402,348,874,254,685,281
S3,7522,MNC,IHL,2093.265,503,1124,538,103,396,57,124,193
S2,7523,LLC,IHL,1942.519,76,211,153,246,76,517,316,410
S2,7524,SME,Public RI,3290.09,422,105,404,486,327,410,114,744
S3,7525,LLC,Private,1151.884,49,264,446,79,537,263,496,88
S3,7526,LLC,Public RI,2233.433,516,274,299,652,674,273,180,164
S1,7527,SME,Gov,2556.315,315,246,23,93,538,232,510,232
S1,7528,LLC,IHL,2707.957,411,154,145,310,592,62,216,116
S2,7529,SME,Private,5056.253,214,196,81,415,448,189,393,182
S2,7530,MNC,IHL,2537.8,227,297,166,131,217,240,126,520
S3,7531,SME,Public RI,3347.425,179,170,137,627,298,301,272,169
S1,7532,MNC,Private,3355.229,582,196,412,453,378,464,928,473
S2,7533,LLC,Private,2706.691,377,190,487,1069,222,154,174,163
S3,7534,SME,Private,2602.36,203,134,287,348,306,118,546,290
S2,7535,MNC,Public RI,2865.164,147,384,180,324,19,167,133,265
S1,7536,SME,Public RI,1623.219,312,852,328,494,122,438,372,539
S3,7537,SME,Private,2731.877,300,128,183,435,71,80,289,169
S3,7538,MNC,Private,3233.274,255,103,538,143,112,1721,351,505
S2,7539,MNC,Gov,2635.992,220,528,451,635,40,361,453,358
S2,7540,MNC,IHL,3906.677,70,292,137,423,187,222,626,258
S2,7541,LLC,Gov,3443.916,408,269,284,247,541,222,43,593
S2,7542,LLC,Public RI,2546.507,881,119,369,5,613,212,894,279
S2,7543,SME,Private,3137.402,182,306,359,89,538,252,391,398
S3,7544,MNC,IHL,2053.444,457,634,1081,50,109,575,130,328
S1,7545,SME,Private,4539.601,120,112,219,326,118,144,287,346
S3,7546,MNC,Gov,3576.832,32,38,126,312,137,655,450,409
S3,7547,SME,IHL,2240.827,787,176,406,137,62,115,247,262
S3,7548,LLC,Gov,2447.754,154,226,282,245,47,371,101,953
S3,7549,SME,Private,3598.376,45,266,492,430,754,581,449,22
S3,7550,SME,Gov,2990.241,221,338,337,911,251,142,196,149
S3,7551,SME,IHL,2167.598,177,254,96,170,320,427,560,426
S2,7552,SME,IHL,2598.479,62,755,354,311,152,146,227,494
S2,7553,SME,Gov,2718.336,227,194,320,150,350,861,478,141
S2,7554,LLC,Public RI,2099.404,102,157,54,99,109,178,456,726
S2,7555,MNC,IHL,5246.338,72,76,81,267,239,319,343,237
S1,7556,LLC,IHL,4174.877,753,153,107,156,91,363,514,363
S3,7557,SME,Private,2437.211,21,384,258,170,309,283,507,102
S3,7558,MNC,Public RI,2661.918,221,925,155,388,56,280,102,737
S3,7559,LLC,Gov,2109.233,305,90,368,247,678,554,91,49
S2,7560,MNC,IHL,4588.731,521,483,422,250,370,388,44,107
S1,7561,SME,IHL,2865.094,787,344,363,325,543,259,253,497
S3,7562,MNC,Private,1307.113,348,134,200,267,232,367,310,333
S1,7563,SME,IHL,1784.905,581,378,97,158,128,63,566,409
S1,7564,MNC,Public RI,1286.405,280,342,169,83,284,577,68,515
S2,7565,MNC,Gov,3034.261,27,236,222,253,268,283,189,640
S2,7566,LLC,IHL,1200.21,214,87,416,498,657,585,203,160
S2,7567,SME,Public RI,3351.345,319,235,228,57,135,85,182,115
S1,7568,LLC,IHL,3160.631,154,183,85,101,141,469,315,217
S3,7569,MNC,Private,5083.64,129,134,334,265,267,631,570,343
S3,7570,SME,IHL,1808.646,13,1061,424,254,382,163,218,472
S1,7571,MNC,Private,3313.526,96,209,259,280,356,169,495,381
S2,7572,MNC,Private,4060.623,505,172,264,348,271,199,295,121
S2,7573,SME,Public RI,2552.507,308,540,262,538,193,64,242,617
S3,7574,MNC,Private,1962.857,361,174,141,279,182,82,512,209
S2,7575,LLC,Public RI,2683.203,129,229,49,520,131,230,105,429
S1,7576,LLC,Gov,2036.101,534,213,81,104,51,61,276,212
S2,7577,SME,IHL,3394.608,261,200,117,424,597,207,13,746
S3,7578,LLC,IHL,3327.133,227,882,244,274,352,190,241,1111
S2,7579,MNC,IHL,2423.607,292,449,326,144,220,301,206,338
S2,7580,SME,Private,2534.084,546,442,71,357,168,345,266,279
S1,7581,SME,Private,2850.355,194,451,85,283,174,322,522,261
S1,7582,SME,Gov,1768.047,188,356,329,153,639,214,246,466
S3,7583,LLC,Gov,3689.548,146,268,147,302,72,88,301,112
S2,7584,SME,IHL,3382.666,278,500,59,238,228,243,481,269
S2,7585,MNC,Public RI,3751.707,291,70,74,373,570,808,299,434
S3,7586,SME,Private,3096.395,896,151,66,490,99,406,160,294
S3,7587,MNC,Gov,2252.583,267,105,258,109,293,507,110,148
S2,7588,LLC,Public RI,2930.216,402,97,165,134,94,422,260,327
S3,7589,SME,Private,2709.172,3,298,175,179,345,75,223,153
S1,7590,LLC,IHL,2943.162,325,898,192,83,310,215,274,528
S1,7591,MNC,Private,1912.209,381,140,414,133,425,92,188,103
S1,7592,SME,IHL,3325.991,66,689,281,159,191,379,161,296
S2,7593,MNC,Private,3995.492,301,279,54,280,217,332,285,16
S2,7594,LLC,Public RI,1993.801,424,109,361,176,255,51,182,333
S2,7595,SME,IHL,2803.453,79,10,189,131,145,393,41,113
S1,7596,MNC,Private,3360.055,259,542,442,104,210,146,27,201
S2,7597,MNC,Public RI,2563.315,348,139,262,263,485,309,322,253
S2,7598,SME,Gov,3432.358,188,364,186,233,71,40,226,120
S3,7599,SME,Gov,3977.718,299,347,207,423,178,171,268,441
S2,7600,MNC,IHL,4298.281,113,68,97,220,224,625,40,175
S3,7601,MNC,Public RI,4007.581,602,51,47,193,558,889,91,121
S2,7602,SME,IHL,4033.638,209,606,371,139,479,275,43,326
S2,7603,LLC,Gov,2951.789,196,55,18,187,393,76,107,437
S3,7604,LLC,Gov,2284.726,386,97,526,95,48,733,285,433
S2,7605,SME,IHL,4421.236,342,33,587,559,560,267,406,154
S3,7606,SME,Public RI,6140.947,373,196,172,349,617,351,79,257
S3,7607,LLC,Private,2590.942,250,193,199,61,160,912,268,323
S2,7608,MNC,IHL,2174.926,88,119,484,396,184,223,232,507
S1,7609,LLC,Gov,2505.968,91,66,272,179,172,756,338,411
S3,7610,LLC,Private,1836.749,332,842,206,311,290,271,22,516
S3,7611,MNC,Gov,4082.907,736,112,628,311,483,318,279,130
S3,7612,MNC,IHL,1741.971,290,104,167,609,541,1537,93,449
S2,7613,MNC,Private,3575.038,189,474,87,48,597,494,732,284
S1,7614,SME,Private,3361.977,238,844,92,302,170,228,333,337
S3,7615,LLC,IHL,1721.226,139,100,595,96,557,384,120,84
S3,7616,MNC,IHL,2081.329,284,248,54,654,811,255,74,60
S1,7617,LLC,Gov,3030.922,187,1039,312,72,738,218,140,250
S3,7618,MNC,Gov,5532.26,213,89,105,585,578,459,273,59
S1,7619,SME,Private,2936.268,344,273,87,412,167,98,42,188
S1,7620,LLC,Public RI,2410.632,1135,32,247,630,105,152,64,106
S3,7621,MNC,Private,4220.916,26,201,470,34,722,374,303,460
S1,7622,LLC,IHL,1723.334,209,32,305,517,584,181,338,242
S1,7623,MNC,IHL,3373.399,122,147,33,623,310,467,137,155
S1,7624,MNC,IHL,2729.534,131,920,176,429,89,446,46,196
S2,7625,MNC,IHL,2499.432,816,602,174,471,568,112,242,70
S1,7626,SME,Gov,2094.05,366,814,463,657,272,135,48,263
S1,7627,MNC,Public RI,2454.836,65,644,288,305,580,428,73,199
S1,7628,LLC,Public RI,3377.516,91,160,129,148,236,282,321,1167
S1,7629,LLC,Gov,2445.924,493,560,103,386,134,294,28,510
